event_id,time,magnitude,depth_km,latitude,longitude,quality
3620927,2011-12-03T06:19:10.511000Z,5.10,55.098,-41.34543,174.31699,2
2017p059122,2017-01-22T21:00:16.519850Z,5.12,29.075,-37.74497986,177.5435638,2
2015p302557,2015-04-22T22:42:42.415799Z,5.15,22.637,-41.66575053,174.2650801,2
2013p614268,2013-08-16T06:42:40.953349Z,5.15,15.078,-41.67556798,174.279839,2
2016p859628,2016-11-14T01:30:14.594775Z,5.39,11.058,-42.33687592,173.7338867,2
2958743,2008-08-25T11:25:19.310000Z,5.50,31.839,-39.71539,176.85085,2
2013p613947,2013-08-16T03:51:36.119104Z,5.53,14.258,-41.6730932,174.1813846,2
2016p860224,2016-11-14T06:47:50.814078Z,5.72,16.797,-42.38825607,174.0207214,2
2016p858260,2016-11-13T13:21:11.086055Z,5.80,5.000,-41.79623795,174.2338867,2
2016p862895,2016-11-15T06:30:31.742074Z,5.84,11.078,-42.29529953,173.8515778,2
2016p862855,2016-11-15T06:09:35.958262Z,4.37,11.114,-41.70586014,174.2331848,3
2016p884917,2016-11-23T10:04:12.747421Z,4.42,11.849,-41.71829987,174.2528839,3
