event_id,exception
2016p858052,'NoneType' object is not subscriptable
2016p858053,'NoneType' object is not subscriptable
2016p858054,'NoneType' object is not subscriptable
2016p858057,'NoneType' object is not subscriptable
2016p858058,'NoneType' object is not subscriptable
2016p858062,'NoneType' object is not subscriptable
2016p858072,'NoneType' object is not subscriptable
2016p858074,'NoneType' object is not subscriptable
2016p858076,'NoneType' object is not subscriptable
2016p858089,'NoneType' object is not subscriptable
2016p858115,'NoneType' object is not subscriptable
2016p858116,'NoneType' object is not subscriptable
2016p858126,'NoneType' object is not subscriptable
2016p858130,'NoneType' object is not subscriptable
2016p858144,'NoneType' object is not subscriptable
2016p858146,'NoneType' object is not subscriptable
2016p858147,'NoneType' object is not subscriptable
2016p858149,'NoneType' object is not subscriptable
2016p858156,'NoneType' object is not subscriptable
2016p858160,'NoneType' object is not subscriptable
2016p858167,'NoneType' object is not subscriptable
2016p858170,'NoneType' object is not subscriptable
2016p858178,'NoneType' object is not subscriptable
2016p858180,'NoneType' object is not subscriptable
2016p858184,'NoneType' object is not subscriptable
2016p858192,'NoneType' object is not subscriptable
2016p858193,'NoneType' object is not subscriptable
2016p858195,'NoneType' object is not subscriptable
2016p858206,'NoneType' object is not subscriptable
2016p858208,'NoneType' object is not subscriptable
2016p858244,'NoneType' object is not subscriptable
2016p858254,'NoneType' object is not subscriptable
2016p858260,'NoneType' object has no attribute 'origins'
2016p858276,'NoneType' object is not subscriptable
2016p858279,'NoneType' object has no attribute 'origins'
2016p858314,'NoneType' object is not subscriptable
2016p858321,'NoneType' object is not subscriptable
2016p858340,'NoneType' object has no attribute 'origins'
2016p858347,'NoneType' object is not subscriptable
2016p858348,'NoneType' object is not subscriptable
2016p858349,'NoneType' object is not subscriptable
2016p858351,'NoneType' object is not subscriptable
2016p858362,'NoneType' object is not subscriptable
2016p858455,'NoneType' object has no attribute 'origins'
2016p858464,'NoneType' object is not subscriptable
2016p858488,'NoneType' object is not subscriptable
2016p858508,'NoneType' object has no attribute 'origins'
2016p858516,'NoneType' object has no attribute 'origins'
2016p858527,'NoneType' object has no attribute 'origins'
2016p858554,'NoneType' object is not subscriptable
2016p858603,'NoneType' object has no attribute 'origins'
2016p858703,'NoneType' object is not subscriptable
2016p858704,'NoneType' object has no attribute 'origins'
